"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
18863,86,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18864,62,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18867,76,2,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,4,3,2,4,3,0,18
18869,63,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,0,10
18870,80,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18871,69,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18889,63,2,1,0,0,2,1,0,0,0,0,0,0,0,4,4,4,3,3,4,3,4,4,2,12
18890,67,1,1,0,0,3,2,2,2,0,0,2,0,2,4,4,4,4,3,4,4,4,4,6,10
18894,48,1,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
18895,80,1,1,0,1,3,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,3,9
18899,61,2,1,0,0,0,1,0,1,0,0,0,1,0,3,3,2,3,4,4,3,4,3,3,16
18901,61,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,4,0,11
